,Epic,Project,Effort Size,Status,PM,Design,Latest Update,Impact Type,Priority,PRD,JIRA,,REFERENCES,
PAYCOM,,,,,,,,,,,,,,
1,Home Page,Home Page Curated Exp Update,S,Released,Dimas,William,,,P0,https://tiptiptv.atlassian.net/wiki/spaces/SATU/pages/1323368449/Homepage+Changes+W1+Feb+2026?atlOrigin=eyJpIjoiNzhmMDU4MGM2N2Q3NGEyMGIyYmI0MjI5NTk5NWEwOTkiLCJwIjoiYyJ9,,,XS,1 day
2,Blog,Blog Tracker,S,Released,Dimas,William,,,,,,,S,<= 1 week
3,Home Page,Multiple Image Banners,S,Released,Dimas,William,,,,https://tiptiptv.atlassian.net/wiki/spaces/SATU/pages/1319436290/Implementing+Multiple+Images+for+Homepage+Banner?atlOrigin=eyJpIjoiMTk3MmM2YWY4ZjFiNDZmNzkwNTg0MjZjZjFhOTczYWUiLCJwIjoiYyJ9,,,M,2-3 weeks
4,Home Page,Custom Sections,S,Released,Dimas,William,,,,https://tiptiptv.atlassian.net/wiki/spaces/SATU/pages/1319698433/Creating+Custom+Curated+Sections+in+Homepage?atlOrigin=eyJpIjoiZDU1NTAzMjJhNmIzNGFkMDkwMTM0MjBhMGVlOWRhMjUiLCJwIjoiYyJ9,,,L,4-5 weeks
5,TipTip,BTN Integration,M,Won't Do,Dimas,William,,,,,,,P1,Must Have
6,I8n,I8n Translations,L,On Dev,Dimas,William,,Conversion for foreigners,,https://tiptiptv.atlassian.net/wiki/pages/resumedraft.action?draftId=1334509585,,,P2,Could Have
7,I8n,I8n Payment (incl. 2C2P integration),L,On Dev,Dimas,William,,Conversion for foreigners,,https://tiptiptv.atlassian.net/wiki/pages/resumedraft.action?draftId=1334509585,,,P3,Nice to Have
8,Auth,SSO phase 1,M,Testing,Dimas,William,,Conversion to Book,,,,,,
9,Home Page,Social Proof in Home Page,S,Product Requirement,Dimas,William,,,,,,,XL,>= 6 weeks
10,Home Page,Voucher in Home Page,S,Product Requirement,Dimas,William,,,,,,,,
11,Home Page,Pop Up without Param,S,Product Requirement,Dimas,William,,,,,,,P0,Critical & Urgent / Quick Win
12,Home Page,Implement llms.txt (one off),S,Released,,,,,,,,,,
13,Home Page,Implement llms.txt (dynamic yg diupdate tiap hari),,,,,,,,,,,,
14,I18n,Standardize locale naming convention,S,On Dev,Dimas,Dimas,,,,,,,,
15,Sign in / up,"Move ""Sign up now"" and ""Sign in now"" CTA to top of page",,,Dimas,,,,,,,,,
16,Sign in / up,Move from email pass signup to OTP based,,,Dimas,,,,,,,,,
17,Sign in / up,Improve UX from booking to signup,,,Dimas,,,,,,,,,
18,Discover,One card per row results,,,Dimas,,,,,,,,,
19,Discover,Sort by biggest discount,,,Dimas,,,,,,,,,
20,Payment,"Upsell other recommended attractions (nearby, etc)",,,Dimas,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CONTEX,,,,,,,,,,,,,,
1,Product Detail,Product Detail Improvements,M,Released,Faisal,Gita,,Conversion to Book,,https://tiptiptv.atlassian.net/wiki/spaces/SATU/pages/1322352642/PRD+Product+Detail+Page+Improvement,,,,
2,Blog,Wordpress Improvements -  In line product CTA,M,Released,Arga,-,,Conversion to LP,,https://tiptiptv.atlassian.net/wiki/spaces/SATU/pages/1335853071/SatuSatu+Blog+Improvements+Wordpress,,,,
3,Ops,Inform CS when new catalog / catalog items is created,S,Released,Faisal,-,,Ops,,,,,,
4,Blog,Implement llms.txt,S,Released,-,,,,,,,,,
5,Notification,WhatsApp Notifications,S,Released,Faisal,,,,,,,,,
6,Booking,CS Widget,S,Released,Faisal,Gita,,Conversion to Book,,,,,,
8,Ops,Predefined Form for Visitor,M,Released,Arga,,,,,,,,,
7,Product Detail,External Review,M,On Dev,Faisal,Gita,,Conversion to Book,,,,,,
11,Ops,Variant multi merchant,S,On Dev,Arga,,,Finance Ops,,,,,,
9,Ops,Retool Rating & Total Sold (via DB),S,On Dev,Arga,,,,,,,,,
15,Discover,Discover Filter & Sort,M,On Dev,Faisal,William,,Conversion to Book,,,,,,
10,Merchant App,Product Setup Improvements,M,Next Pickup,Arga,,,Ops,,https://tiptiptv.atlassian.net/wiki/spaces/SATU/pages/1336606758/Internal+Tool+Retool+-+Current+Problems+and+Observations,,,,
13,Product Detail,Package Options,M,Next Pickup,Faisal,Gita,,Conversion to Book,,,,,,
12,TipTip,Analytics in CH,S,Next Pickup,Faisal,William,,Promoter Retention,,,,,,
14,Booking,My Booking,L,To Prioritize,Faisal,Gita,,Repeat Purchase,,,,,,
16,Blog,Implement locale dan hreflang di blog,S,To Prioritize,Arga,,,,,,,,,
17,Product Detail,Product Detail Recommended Products and Activities,M,To Prioritize,Faisal,,,,,,,,,
,,,,,,,,,,,,,,
20,Booking,Guest Purchase + My Booking for Guest,XL,To Prioritize,Faisal,Gita,Need to validate,Conversion to Purchase,,,,,,
,,,,,,,,,,,,,,
,Discover,Destination page,M,Design,Dimas / Faisal,William,,Conversion to Book,,,,,,
,,SEO Improvements,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Request mas Dany update price dengan net ,,,,,,,,,,,,
